RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
8 35 57.566,64 30 22.68,0.014,24.45,26.19,0.15,2.22,0,175.3,5.84,5.35,175.3,08360+64243J
17 2 0.309,64 30 22.14,0.016,1.14,1.27,0.136,2.39,0.83,90.1,5.9,5.46,90.1,17030+64240M
14 44 30.718,64 30 21.04,0.266,1.13,0.49,0.128,0,0,178.4,3.57,3.54,178.4,14450+64240R
11 51 10.197,64 30 20.69,0.014,5.68,10.57,0.123,6.67,3.3,29.1,8.58,6.33,29.1,11510+64240M
10 18 2.416,64 30 17.84,0.082,1.43,2.53,0.132,9.06,0,24.2,10.54,4.91,24.2,10180+64240M
11 39 53.094,64 30 16.27,0.014,1.48,1.26,0.132,2.03,0,29.5,5.77,4.31,29.5,11390+64240M
11 41 19.413,64 30 16.24,0.014,2.26,2.38,0.134,4.97,0,23,7.34,4.2,23,11420+64240M
16 4 57.171,64 30 15.38,0.029,1.01,1.58,0.131,7.9,0,8.9,9.57,4.76,8.9,16060+64240M
17 10 33.229,64 30 6.9,0.014,21.21,23.27,0.131,2.01,1.3,37.2,5.76,5.55,37.2,17120+64240M
13 27 46.494,64 30 5.91,0.014,1.01,1,0.126,2.71,0,17.3,6.04,4.75,17.3,13270+64240M
8 35 22.719,64 30 3.58,0.014,2.96,2.88,0.155,1.47,0,140.3,5.6,5.06,140.3,08360+64243J
11 51 8.43,64 30 3.26,0.014,5.71,10.93,0.122,6.37,3.94,52.5,8.35,6.68,52.5,11510+64240M
10 25 7.404,64 30 2.99,0.014,1.88,4.44,0.133,9.55,3.2,157.8,10.97,6.28,157.8,10240+64240M
13 40 41.395,64 30 0.7,0.047,1.08,2.06,0.131,6.76,3.54,29,8.65,6.46,29,13420+64240M
8 36 2.457,64 30 0.11,0.014,73.79,73.79,0.148,0.51,0,169.6,5.42,5.38,169.6,08360+64243J
14 51 32.703,64 29 56.45,0.014,5.9,9.15,0.128,5.75,1.92,109.3,7.89,5.73,109.3,14510+64240R
7 37 55.617,64 29 55.91,0.437,1.23,0.85,0.148,0,0,157,5.27,3.84,157,07360+64243J
10 13 25.102,64 29 54.21,0.433,1.02,0.91,0.134,2.13,0,64.7,5.8,4.5,64.7,10150+64240M
11 24 32.775,64 29 53.96,0.014,3.6,3.92,0.13,3.34,0,44.8,6.35,5,44.8,11240+64240M
14 51 34.542,64 29 53.5,0.014,6.54,9.73,0.128,5.16,2.14,96.8,7.47,5.81,96.8,14510+64240R
13 22 20.714,64 29 50.67,0.16,1.16,0.73,0.131,0,0,53.4,5.29,3.48,53.4,13210+64240M
11 38 2.7,64 29 42.6,0.014,5.61,5.58,0.129,1.86,0,28.2,5.71,5.08,28.2,11390+64240M
11 3 26.36,64 29 41.47,0.014,1.7,1.93,0.122,3.79,0,35.8,6.6,5.02,35.8,11030+64240M
8 53 54.189,64 29 40.12,0.014,3.49,3.05,0.144,0,0,34.6,5.3,4.81,34.6,08540+64243J
13 34 2.704,64 29 39.8,0.016,1.46,0.94,0.124,0,0,27.9,4.64,4.05,27.9,13330+64240M
11 5 17.72,64 29 38.74,0.039,1.04,1.13,0.128,1.67,1.51,1.1,5.65,5.61,1.1,11060+64240M
14 55 43.438,64 29 38.74,0.014,3.58,2.77,0.129,0,0,89.6,4.75,4.75,89.6,14570+64240R
17 10 38.967,64 29 37.24,0.014,4.22,5.4,0.129,4.31,0,123.9,6.91,5.4,123.9,17120+64240M
11 41 0.608,64 29 36.63,0.014,2.69,2.8,0.13,2.05,0,4.2,5.78,5.26,4.2,11420+64240M
7 37 54.632,64 29 36.56,0.497,1.13,0.87,0.148,1.83,0,48.6,5.7,3.95,48.6,07360+64243J
15 30 1.829,64 29 36.38,0.016,1.52,0.98,0.132,0,0,153.5,4.86,3.87,153.5,15300+64240M
13 24 9.025,64 29 36.33,0.014,4.46,6.39,0.13,5.34,1.04,2,7.59,5.5,2,13270+64240M
10 23 8.07,64 29 35.2,0.192,1.52,1.09,0.133,0,0,5.1,5.32,3.94,5.1,10240+64240M
11 7 44.571,64 29 34.91,0.014,1.2,1,0.125,0,0,0,4.92,4.89,0,11090+64240M
17 5 55.562,64 29 32.28,0.014,2.29,3.77,0.127,7.08,0,163.2,8.9,5.38,163.2,17060+64240M
14 52 59.924,64 29 31.05,0.275,1.12,0.49,0.129,0,0,3.1,3.57,3.54,3.1,14540+64240R
13 24 47.443,64 29 31,0.014,5.66,6.41,0.131,2.25,1.67,22.2,5.85,5.65,22.2,13240+64240M
7 15 31.09,64 29 28.07,0.014,1.33,1,0.15,1.43,0,36.5,5.59,3.92,36.5,07180+64243J
14 47 15.049,64 29 26.45,0.027,1.2,0.92,0.128,1.57,0,16,5.62,3.98,16,14480+64240R
13 24 9.127,64 29 22.71,0.014,5.59,5.89,0.129,2.56,0,7.2,5.98,5.14,7.2,13270+64240M
11 58 1.726,64 29 19.93,0.014,2.14,2.07,0.156,3.44,0,32.4,6.4,4.42,32.4,11570+64240M
11 34 22.563,64 29 19.81,0.041,1.59,2.75,0.124,8.48,0,0.9,10.05,5.04,0.9,11330+64240M
10 14 14.495,64 29 19.52,0.039,1.4,1.42,0.128,5.28,0,26,7.55,3.93,26,10150+64240M
7 17 52.579,64 29 18.36,0.014,20.33,37.03,0.141,5.94,3.82,172.6,8.03,6.61,172.6,07180+64243J
16 59 40.365,64 29 17.23,0.014,2.27,2.03,0.125,0.97,0,28.9,5.49,4.77,28.9,17000+64240M
13 30 14.387,64 29 17.13,0.014,8.79,15.63,0.122,6.95,2.36,38.8,8.81,5.89,38.8,13300+64240M
13 28 22.971,64 29 16.88,0.014,1.33,1.05,0.123,1.88,0,38.5,5.72,4.02,38.5,13270+64240M
11 52 49.922,64 29 16.44,0.014,4.97,4.49,0.124,0,0,34.6,5.39,4.88,34.6,11540+64240M
13 1 15.256,64 29 15.97,0.014,17.34,21.67,0.124,3.7,1.35,19.5,6.55,5.57,19.5,13000+64240M
11 38 43.459,64 29 14.38,0.014,20.67,20.76,0.124,0.83,0,38.2,5.46,5.36,38.2,11390+64240M
7 45 56.334,64 29 14.11,0.016,1.34,1.93,0.146,4.74,2.3,79.4,7.19,5.87,79.4,07480+64243J
17 11 46.744,64 29 13.22,0.014,2.17,2.63,0.128,4.01,0,142.9,6.72,5.28,142.9,17120+64240M
13 34 48.377,64 29 11.18,0.014,46.87,48.97,0.124,1.4,0.83,47.8,5.58,5.46,47.8,13360+64240M
11 49 17.981,64 29 10.32,0.014,18.6,28.58,0.123,5.91,1.47,153,8,5.6,153,11480+64240M
7 42 50.833,64 29 9.04,0.014,1.14,0.72,0.139,0,0,34.8,4.78,3.83,34.8,07420+64243J
7 33 40.826,64 29 8.52,0.014,10.56,92.7,0.148,25.29,8.3,115.6,25.86,9.9,115.6,07360+64243J
15 34 40.901,64 29 8.13,0.014,24.18,47.16,0.126,8.03,2.31,139,9.68,5.87,139,15360+64240M
7 47 13.122,64 29 6.09,0.014,1.23,0.94,0.142,2.07,0,48.2,5.78,3.86,48.2,07480+64243J
10 9 33.883,64 29 5.5,0.014,11.48,11.27,0.123,0.78,0,39.8,5.46,5.25,39.8,10090+64240M
7 10 56.059,64 29 4.93,0.014,10.86,13.05,0.141,2.53,2.32,90,5.96,5.88,90,07120+64243J
17 11 47.289,64 29 2.35,0.047,1.24,1.21,0.127,4.27,0,162.5,6.89,4.16,162.5,17120+64240M
11 14 59.18,64 29 1.49,0.014,29.52,30.65,0.119,1.56,0,48.5,5.62,5.39,48.5,11150+64240M
7 33 43.819,64 29 1.37,0.014,18.39,41.39,0.148,7,5.09,153.6,8.84,7.42,153.6,07360+64243J
14 48 55.683,64 29 0.8,0.014,3.93,3.99,0.126,2.05,0,32.9,5.78,5.13,32.9,14480+64240R
12 59 20.64,64 28 59.87,0.014,6.45,6.81,0.138,1.95,0,27.1,5.74,5.36,27.1,13000+64240M
14 38 26.658,64 28 59.75,0.047,1.92,1.46,0.121,0,0,19.6,5.38,4.12,19.6,14390+64240M
11 10 47.93,64 28 59.45,0.014,16.2,17.35,0.124,2.09,0,34.2,5.79,5.39,34.2,11120+64240M
8 17 46.1,64 28 58.91,0.408,1.05,0.84,0.15,1.15,0,159.5,5.52,4.23,159.5,08180+64243J
6 57 25.893,64 28 57.46,0.014,2.25,3.58,0.146,4.17,4.11,178.8,6.82,6.79,178.8,07000+64243J
9 47 52.125,64 28 57.02,0.274,1.04,1.25,0.145,4.2,0,4.2,6.84,5.13,4.2,09480+64243M
7 59 54.922,64 28 53.97,0.014,3.11,3.73,0.145,3.34,1.05,7.9,6.35,5.5,7.9,08000+64243J
14 55 33.865,64 28 53.62,0.014,3.54,4.47,0.125,4.19,0,28.1,6.83,5.38,28.1,14570+64240R
8 47 32.603,64 28 53.52,0.505,1.06,0.9,0.146,2.28,0,165,5.86,4.25,165,08480+64243J
7 12 44.472,64 28 49.89,0.014,2.18,2.13,0.14,1.92,0,30.5,5.73,4.99,30.5,07120+64243J
14 48 54.106,64 28 48.58,0.014,2.65,4.01,0.125,5.09,2.49,38.6,7.42,5.95,38.6,14480+64240R
11 49 32.101,64 28 46.79,0.014,3.95,3.79,0.121,1.34,0,38.5,5.56,5.03,38.5,11510+64240M
13 1 19.023,64 28 46.49,0.014,1.47,1.27,0.122,1.28,0,155.1,5.55,4.54,155.1,13000+64240M
7 40 29.15,64 28 44.89,0.539,1.12,0.89,0.145,3.73,0,157.4,6.57,3.52,157.4,07420+64243J
11 36 27.86,64 28 43.98,0.014,3.9,3.76,0.125,1.88,0,42.9,5.72,4.93,42.9,11360+64240M
14 38 40.749,64 28 41.82,0.014,24.16,26.22,0.118,2.42,0,58.9,5.92,5.35,58.9,14390+64240M
6 57 29.919,64 28 41.48,0.014,3.88,4.66,0.147,3.37,1.06,144.5,6.37,5.5,144.5,07000+64243J
10 13 0.618,64 28 40.96,0.168,1.07,0.94,0.128,2.63,0,149.3,6,4.23,149.3,10120+64240M
13 32 1.735,64 28 38.85,0.014,5.43,8.67,0.118,6.62,0.76,87.7,8.54,5.45,87.7,13330+64240M
13 13 16.927,64 28 38.6,0.014,8.93,12.24,0.121,3.64,2.91,85.5,6.51,6.13,85.5,13120+64240M
10 17 55.931,64 28 37.84,0.014,11.3,11.92,0.126,1.84,0,56.9,5.7,5.39,56.9,10180+64240M
9 54 30.904,64 28 37.79,0.014,1.3,1.16,0.149,2.33,0,135.5,5.88,4.45,135.5,09540+64243M
14 52 45.806,64 28 36.66,0.014,224.8,235.72,0.125,1.36,1,48,5.57,5.49,48,14540+64240R
9 54 19.063,64 28 35.85,0.042,1.11,1.14,0.146,3,0,1.4,6.18,4.84,1.4,09540+64243M
11 22 53.873,64 28 35.18,0.014,1.09,0.95,0.123,2.28,0,70.8,5.86,4.32,70.8,11240+64240M
10 3 14.984,64 28 34.57,0.014,2.71,2.78,0.118,1.89,0,50.6,5.72,5.21,50.6,10030+64240M
10 3 12.584,64 28 34.39,0.014,1.44,2.44,0.118,5.17,3.81,70.3,7.47,6.61,70.3,10030+64240M
13 0 41.278,64 28 33.98,0.014,3.68,4.53,0.122,3.35,1.62,94.5,6.36,5.64,94.5,13000+64240M
15 29 25.116,64 28 33.76,0.034,1.39,0.91,0.139,0,0,34.1,5.23,3.7,34.1,15300+64240M
13 37 35.685,64 28 32.6,0.014,31.92,33.98,0.121,1.77,0.82,36.3,5.68,5.46,36.3,13390+64240M
10 3 18.728,64 28 29.5,0.034,1.35,1.53,0.118,3.91,0,4.4,6.67,4.95,4.4,10030+64240M
13 26 53.822,64 28 29.06,0.014,2.27,2.12,0.116,1.96,0,27.1,5.74,4.73,27.1,13270+64240M
13 7 41.19,64 28 24.22,0.014,4.61,4.11,0.119,0,0,30.2,5.23,4.98,30.2,13090+64240M
14 34 3.418,64 28 22.91,0.014,16.36,17.42,0.119,1.89,0.53,52.7,5.72,5.43,52.7,14330+64240M
13 34 10.769,64 28 21.02,0.016,2.04,9.71,0.119,12.83,8.4,48.5,13.92,9.99,48.5,13330+64240M
13 1 22.36,64 28 20.4,0.014,12.23,14.62,0.12,2.7,2.05,179,6.04,5.78,179,13000+64240M
7 46 30.755,64 28 18.61,0.094,1.21,0.77,0.144,0,0,1.4,4.48,4.16,1.4,07480+64243J
11 24 36.857,64 28 16.52,0.014,1.29,1.14,0.124,0,0,86.6,5.26,4.88,86.6,11240+64240M
16 52 0.337,64 28 14.45,0.014,3.34,5.78,0.117,6.93,1.99,112.9,8.79,5.75,112.9,16510+64240M
7 23 4.954,64 28 13.74,0.014,3.39,2.84,0.142,0.52,0,27.7,5.43,4.49,27.7,07240+64243J
7 52 3.384,64 28 11.38,0.014,1.68,2.2,0.148,5.6,0,161.8,7.78,4.89,161.8,07540+64243J
11 3 21.649,64 28 8.68,0.014,1.57,1.34,0.115,1.58,0,5.9,5.63,4.45,5.9,11030+64240M
14 49 53.102,64 28 6.95,0.014,9.05,10.66,0.121,3.39,0,76.7,6.38,5.39,76.7,14510+64240R
8 11 40.309,64 28 6.12,0.014,1.44,7.26,0.145,13.35,8.65,9.9,14.4,10.19,9.9,08120+64243J
14 36 5.398,64 28 5.55,0.014,29.34,39.86,0.122,3.73,2.7,67.6,6.56,6.04,67.6,14360+64240M
14 36 8.686,64 28 3.34,0.014,1.75,1.7,0.122,3.73,0,45.1,6.56,4.33,45.1,14360+64240M
7 51 54.165,64 28 2.43,0.016,1.22,1.64,0.15,5.08,0,3.5,7.41,5.28,3.5,07540+64243J
11 42 0.784,64 28 1.42,0.014,1.63,1.52,0.124,1.48,0,57.2,5.6,4.87,57.2,11420+64240M
11 11 6.057,64 27 58.64,0.124,1.45,2.34,0.121,5.74,2.59,85.3,7.88,5.99,85.3,11120+64240M
9 5 36.377,64 27 58.13,0.014,3.12,3.16,0.141,1.77,0,159.7,5.68,5.2,159.7,09060+64243J
17 3 8.187,64 27 56.82,0.014,1.5,1.39,0.122,1.72,0,163.6,5.67,4.74,163.6,17030+64240M
14 36 15.41,64 27 55.82,0.014,15.16,24.71,0.121,5.66,2.78,117.7,7.83,6.07,117.7,14360+64240M
10 14 55.04,64 27 55.4,0.194,1,3.84,0.119,14.22,4.92,44.9,15.21,7.31,44.9,10150+64240M
8 53 47.875,64 27 55.35,0.014,4.13,4.89,0.139,2.87,1.61,83.5,6.11,5.64,83.5,08540+64243J
11 40 57.208,64 27 54.83,0.014,1.75,1.26,0.123,0,0,151.7,4.77,4.4,151.7,11420+64240M
7 30 41.781,64 27 54.66,0.014,2.24,3.53,0.135,6.48,0.76,31.6,8.44,5.45,31.6,07300+64243J
7 26 49.254,64 27 53.8,0.296,1.16,1.1,0.149,1.69,0,54.4,5.66,4.88,54.4,07240+64243J
15 41 38.338,64 27 53.28,0.039,1.11,0.72,0.121,0,0,16.5,5.09,3.75,16.5,15390+64240M
11 56 32.404,64 27 51.02,0.014,1.87,2.65,0.122,5.48,0,168.9,7.7,5.38,168.9,11570+64240M
10 13 0.179,64 27 50.43,0.039,1.5,1.18,0.125,0,0,158.2,5.09,4.5,158.2,10120+64240M
10 12 52.727,64 27 47.8,0.107,1.11,0.81,0.125,0,0,83.3,4.81,4.49,83.3,10120+64240M
11 22 6.384,64 27 47.14,0.014,5.33,5.34,0.117,1.59,0,40.9,5.63,5.19,40.9,11210+64240M
17 10 19.314,64 27 45.61,0.014,7.06,6.6,0.12,0,0,2.8,5.35,5.1,2.8,17090+64240M
6 56 49.19,64 27 45.19,0.546,1,1.79,0.149,8.04,0,179.8,9.68,5.4,179.8,06540+64243J
6 56 44.385,64 27 44.11,0.014,5.23,6.6,0.149,4.66,0,18.3,7.14,5.16,18.3,06540+64243J
14 53 21.801,64 27 42.46,0.519,1.12,0.71,0.123,0,0,85,5.13,3.57,85,14540+64240R
14 36 42.097,64 27 41.82,0.014,2.14,2.6,0.121,5.03,0,39.4,7.38,4.82,39.4,14360+64240M
13 31 16.459,64 27 39.96,0.014,1.29,1.08,0.117,2.36,0,30.6,5.89,4.16,30.6,13300+64240M
14 36 43.255,64 27 37.52,0.014,2.16,2.87,0.12,4.47,1.2,124.4,7.01,5.53,124.4,14360+64240M
11 54 3.731,64 27 36.73,0.014,1.14,2.14,0.119,9.41,0,179.2,10.85,5.01,179.2,11540+64240M
13 32 59.97,64 27 35.75,0.016,1.08,0.98,0.112,2.92,0,67.9,6.14,4.3,67.9,13330+64240M
13 15 42.226,64 27 35.33,0.014,9.54,10.19,0.115,2.03,0,38.9,5.77,5.39,38.9,13150+64240M
9 35 43.825,64 27 35.16,0.014,1.31,0.87,0.139,0,0,39.1,5.14,3.72,39.1,09360+64243J
13 30 35.284,64 27 34.62,0.014,2.85,3.13,0.116,2.81,0,66.3,6.09,5.27,66.3,13300+64240M
10 12 50.169,64 27 33.22,0.23,1.05,1.21,0.125,3.23,0,80,6.29,5.3,80,10120+64240M
7 52 24.264,64 27 27.44,0.014,7.74,7.75,0.145,0.19,0,89.9,5.4,5.4,89.9,07540+64243J
17 6 23.403,64 27 24.93,0.014,12.77,12.93,0.12,1.54,0,46.6,5.62,5.26,46.6,17060+64240M
14 54 42.321,64 27 24.19,0.014,2.01,1.98,0.122,2.41,0,33.4,5.91,4.85,33.4,14540+64240R
11 22 6.017,64 27 23.85,0.014,7.38,7.55,0.116,1.69,0,51.4,5.66,5.27,51.4,11210+64240M
13 4 13.543,64 27 22.72,0.014,4.85,7.87,0.117,5.59,2.8,86.7,7.77,6.08,86.7,13030+64240M
15 45 25.711,64 27 22.52,0.014,5.07,7.07,0.114,3.61,3.17,36.7,6.5,6.26,36.7,15450+64240M
11 5 58.502,64 27 22.4,0.039,1.21,0.96,0.119,1.92,0,24.6,5.73,4.02,24.6,11060+64240M
12 59 24.522,64 27 21.93,0.014,3.69,4.53,0.128,3.9,0,32.3,6.66,5.38,32.3,13000+64240M
7 50 50.342,64 27 21.88,0.016,1.24,1.58,0.152,3.43,2.13,33.3,6.4,5.8,33.3,07480+64243J
14 57 33.501,64 27 21.59,0.014,2.3,1.95,0.126,2.01,0,5.2,5.76,4.28,5.2,14570+64240R
11 49 28.511,64 27 20.83,0.014,1.24,0.84,0.116,0,0,46.1,4.96,3.97,46.1,11480+64240M
13 4 14.252,64 27 16.5,0.014,4.86,9.39,0.117,5.94,4.47,105.9,8.03,7.01,105.9,13030+64240M
9 41 31.129,64 27 16.33,0.014,2.43,2.41,0.147,2.17,0,165.1,5.82,4.96,165.1,09420+64243J
11 4 18.786,64 27 13.23,0.014,14.4,16.18,0.116,2.31,1.41,154.9,5.87,5.58,154.9,11030+64240M
11 45 15.812,64 27 12.81,0.025,1.13,0.89,0.113,0,0,0.4,4.85,4.73,0.4,11450+64240M
7 23 43.214,64 27 12.49,0.56,1.03,0.99,0.14,5.75,0,16.9,7.89,3.55,16.9,07240+64243J
7 10 8.011,64 27 11.26,0.323,1.03,1.04,0.148,1.34,0,180,5.56,5.36,180,07120+64243J
13 18 52.287,64 27 7.47,0.014,10.94,12.22,0.12,2.07,1.6,32.9,5.78,5.63,32.9,13180+64240M
11 39 25.145,64 27 7.18,0.014,1.95,1.69,0.116,1.82,0,36.3,5.7,4.41,36.3,11390+64240M
9 41 17.1,64 27 5.53,0.797,1.02,2.56,0.148,10.68,2.82,112.6,11.97,6.09,112.6,09420+64243J
9 41 19.805,64 27 3.52,0.877,1.08,1.86,0.147,8.95,0,93.4,10.46,4.79,93.4,09420+64243J
10 0 20.342,64 27 2.8,0.014,2.38,2.4,0.12,2.66,0,21.6,6.02,4.89,21.6,10000+64240M
8 36 15.456,64 27 1.67,0.801,1.01,1.2,0.14,4.82,0,110.1,7.24,4.79,110.1,08360+64243J
15 41 49.494,64 27 1.62,0.014,1.31,0.96,0.119,0,0,50.7,5.09,4.2,50.7,15420+64240M
8 36 6.034,64 27 0.34,0.014,1.16,1.31,0.139,1.93,1.92,178.8,5.74,5.73,178.8,08360+64243J
11 24 55.941,64 26 59.11,0.014,8.09,17.87,0.119,8.69,3.24,102,10.23,6.3,102,11240+64240M
10 13 1.129,64 26 57.54,0.338,1.13,0.58,0.122,0,0,89.5,4.06,3.65,89.5,10120+64240M
10 12 54.123,64 26 54.42,0.338,1.06,0.59,0.123,0,0,177.8,4.31,3.7,177.8,10150+64240M
13 2 13.767,64 26 52.5,0.014,1.3,1.39,0.114,3.72,0,83.3,6.55,4.73,83.3,13030+64240M
13 14 55.747,64 26 52.4,0.014,2.14,1.81,0.11,0,0,24.9,5.35,4.63,24.9,13150+64240M
7 2 54.188,64 26 51.66,0.014,1.75,1.48,0.151,1.45,0,167.1,5.59,4.41,167.1,07000+64243J
16 58 15.742,64 26 50.43,0.031,1.18,0.99,0.114,2.51,0,25.7,5.96,4.1,25.7,16570+64240M
13 42 32.657,64 26 48.59,0.07,1.09,0.84,0.132,0.14,0,33.9,5.4,4.16,33.9,13420+64240M
11 49 8.378,64 26 48.25,0.014,1.4,1.31,0.115,2.67,0,53.8,6.02,4.57,53.9,11480+64240M
7 26 36.977,64 26 46.99,0.272,1.3,0.95,0.152,2.38,0,11.3,5.9,3.6,11.3,07240+64243J
13 42 56.089,64 26 46.87,0.093,1.25,0.75,0.141,0,0,14.1,4.93,3.51,14.1,13420+64240M
15 39 8.75,64 26 46.57,0.014,32.15,74.29,0.111,10.05,2.39,53.6,11.41,5.91,53.6,15390+64240M
14 29 32.736,64 26 43.89,0.014,4.54,4.67,0.125,2.12,0,51.4,5.8,5.17,51.4,14300+64240M
9 47 32.884,64 26 43.35,0.014,3.46,3.22,0.14,0,0,89.8,5.29,5.14,89.8,09480+64243M
14 57 12.633,64 26 42.79,0.014,2.32,2.69,0.119,4.61,0,43.2,7.1,4.76,43.2,14570+64240R
11 1 16.332,64 26 42.27,0.034,1.19,0.99,0.115,3.41,0,16.1,6.38,3.82,16.1,11000+64240M
11 30 33.586,64 26 40.13,0.014,1.33,2.17,0.116,7.02,0,164.3,8.85,5.38,164.3,11300+64240M
10 21 54.048,64 26 39.54,0.014,3.19,4.24,0.118,4.55,0.97,6.5,7.06,5.49,6.5,10210+64240M
9 0 20.487,64 26 37.45,0.014,32.64,32.97,0.135,0.6,0.49,0.1,5.43,5.42,0.1,09000+64243J
7 42 24.51,64 26 36.64,0.014,10.46,10.23,0.134,1.08,0,178.3,5.51,5.18,178.3,07420+64243J
13 3 35.969,64 26 33.98,0.014,1.66,1.53,0.112,1.02,0,81.4,5.49,4.87,81.4,13030+64240M
11 28 8.484,64 26 33,0.014,5.14,4.56,0.115,0,0,91.7,5.16,5.01,91.7,11270+64240M
11 10 36.845,64 26 30.74,0.014,10.1,10.29,0.115,1.52,0,54.5,5.61,5.3,54.5,11120+64240M
7 42 15.258,64 26 30.64,0.014,1.15,1.33,0.135,4.76,0,131.2,7.2,4.65,131.2,07420+64243J
11 14 41.368,64 26 28.65,0.021,1.29,0.71,0.111,0,0,0.1,4.07,3.92,0.1,11150+64240M
7 48 14.394,64 26 28.21,0.014,6.35,12.02,0.137,6.65,3.52,88,8.56,6.44,88,07480+64243J
7 48 12.109,64 26 25.85,0.014,6.24,11.54,0.137,5.54,4.41,108.4,7.73,6.97,108.4,07480+64243J
10 21 40.564,64 26 25.57,0.014,9.81,26.71,0.117,8.38,5.86,13.9,9.97,7.97,13.9,10210+64240M
14 45 40.491,64 26 24.54,0.014,1.98,1.8,0.113,2.08,0,21.4,5.78,4.59,21.4,14450+64240R
17 1 49.707,64 26 24,0.081,1.94,1.58,0.118,0.84,0,6.7,5.47,4.35,6.7,17030+64240M
11 45 20.212,64 26 22.82,0.014,43.89,77.71,0.11,6.94,2.31,75.2,8.79,5.87,75.2,11450+64240M
13 0 28.501,64 26 21.69,0.014,1.2,1.01,0.116,2,0,19.6,5.76,4.26,19.6,13000+64240M
15 36 25.901,64 26 21.1,0.014,1.98,1.67,0.119,0,0,1.6,5.38,4.58,1.6,15360+64240M
17 13 25.511,64 26 20.44,0.014,1.28,0.98,0.117,0,0,0.6,4.76,4.72,0.6,17120+64240M
6 55 29.626,64 26 18.91,0.014,1.77,2.21,0.143,2.84,2.58,90.1,6.1,5.99,90.1,06540+64243J
10 21 29.122,64 26 14.76,0.014,3.52,3.06,0.115,0,0,17.4,5.2,4.87,17.4,10210+64240M
10 21 38.282,64 26 13.18,0.014,21.41,56.22,0.116,7.94,5.86,17.2,9.6,7.97,17.2,10210+64240M
15 41 23.932,64 26 9.32,0.014,1.38,1.66,0.116,4.38,0,179.8,6.96,5.04,179.8,15420+64240M
7 13 28.156,64 26 8.49,0.014,10.29,14.19,0.143,4.6,1.72,47.9,7.09,5.67,47.9,07120+64243J
10 24 5.011,64 26 6.76,0.014,67.98,209.31,0.122,10.87,5.06,80.3,12.13,7.4,80.3,10240+64240M
8 54 49.553,64 26 5.93,0.014,6.9,7.43,0.141,1.87,1.03,40.4,5.71,5.5,40.4,08540+64243J
11 49 24.81,64 26 5.19,0.014,10.25,13.64,0.113,4.41,1.33,39.6,6.97,5.56,39.6,11480+64240M
7 8 50.488,64 26 4.92,0.014,8.34,14.69,0.154,6.97,2.19,98,8.82,5.83,98,07060+64243J
6 54 28.681,64 26 4.48,0.014,45.47,49.08,0.133,2,0.86,14.6,5.76,5.47,14.6,06540+64243J
9 47 15.298,64 26 3.52,0.014,2.73,2.65,0.143,1.29,0,170.2,5.55,5.12,170.2,09480+64243M
11 17 18.943,64 26 3,0.014,3.78,4.11,0.116,2.65,0,10,6.01,5.28,10,11180+64240M
16 57 3.788,64 26 2.51,0.024,1.98,3.1,0.108,7,0,25,8.84,5.18,25,16570+64240M
7 13 26.266,64 25 58.75,0.014,4.5,6.52,0.143,4.81,2.22,35.1,7.23,5.84,35.1,07120+64243J
10 7 4.151,64 25 58.72,0.014,8.24,16.55,0.116,7,3.85,122.4,8.84,6.63,122.4,10060+64240M
11 27 29.165,64 25 56.58,0.014,2.08,1.9,0.111,1.73,0,32.3,5.67,4.67,32.3,11270+64240M
6 59 29.667,64 25 56.41,0.014,2.72,2.79,0.134,2.1,0,10,5.79,5.17,10,07000+64243J
6 53 43.287,64 25 56.12,0.014,1.39,1.57,0.138,2.97,0,80.3,6.16,5.38,80.3,06540+64243J
7 50 56.476,64 25 56.07,0.014,1.66,1.74,0.154,4.64,0,3.3,7.12,4.29,3.3,07480+64243J
13 13 57.751,64 25 55.16,0.014,1.82,1.53,0.11,3.12,0,20,6.24,3.92,20,13150+64240M
10 7 5.767,64 25 51.62,0.014,11.28,19.62,0.116,6.32,2.85,128,8.32,6.1,128,10060+64240M
10 12 34.036,64 25 51.18,0.295,1.29,0.57,0.121,0,0,0.4,3.6,3.56,0.4,10150+64240M
9 35 56.883,64 25 48.62,0.014,1.33,0.9,0.135,0,0,46.5,5.11,3.88,46.5,09360+64243J
15 35 36.271,64 25 47.34,0.014,1.67,1.51,0.118,0,0,90.1,5.29,4.96,90.1,15360+64240M
7 52 54.456,64 25 47.09,0.016,1.07,0.67,0.138,0,0,142.2,4.78,3.74,142.2,07540+64243J
10 10 37.669,64 25 45.62,0.014,4.11,4.47,0.116,1.75,1.46,89.9,5.68,5.59,89.9,10120+64240M
10 27 31.933,64 25 44.31,0.014,20.3,20.2,0.121,0.49,0,36,5.42,5.35,36,10270+64240M
14 51 47.377,64 25 42.86,0.014,5.38,5.15,0.113,0.76,0,6.3,5.45,5.11,6.3,14510+64240R
14 33 7.959,64 25 41.04,0.014,3.27,9.07,0.108,11.8,3.13,173,12.98,6.24,173,14360+64240M
8 29 42.939,64 25 31.09,0.014,52.65,56.88,0.135,2.09,0.67,169.6,5.79,5.44,169.6,08300+64243J
13 40 49.939,64 25 29.12,0.014,18.88,19.58,0.115,1.46,0.24,27.3,5.59,5.41,27.3,13420+64240M
