RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
10 17 50.951,64 30 55.61,0.014,2.97,2.7,0.136,1.21,0,57.1,5.53,4.77,57.1,10180+64240M
11 57 11.9,64 30 55.41,0.014,181.51,184.62,0.143,0.99,0.17,34.8,5.49,5.4,34.8,11570+64240M
7 13 35.452,64 30 54.97,0.014,1.48,1.18,0.148,0.9,0,22.6,5.47,4.24,22.6,07120+64243J
7 46 41.292,64 30 54.48,0.014,3.41,2.86,0.146,0.09,0,39.5,5.4,4.54,39.5,07480+64243J
7 37 58.164,64 30 52.9,0.181,1.57,0.88,0.147,0,0,89.2,4.53,3.63,89.2,07360+64243J
13 5 12.655,64 30 50.94,0.014,2.44,4.11,0.135,6.82,1.7,83.7,8.7,5.66,83.7,13060+64240M
10 13 5.693,64 30 49.85,0.718,1.02,0.9,0.141,1.6,0,88.8,5.63,4.58,88.8,10150+64240M
14 34 39.692,64 30 49.14,0.014,1.35,2.01,0.134,6.46,0,24.7,8.42,5.18,24.7,14360+64240M
11 25 52.525,64 30 48.75,0.014,2.73,3.69,0.133,5.53,0,23.5,7.73,5.11,23.5,11270+64240M
7 17 54.02,64 30 48.33,0.014,5.64,5.59,0.145,1.16,0,20,5.52,5.23,20,07180+64243J
13 35 5.996,64 30 47.64,0.093,1.19,0.6,0.134,0,0,176.1,4.01,3.58,176.1,13330+64240M
13 33 53.941,64 30 47.32,0.016,1.63,3.73,0.13,7.34,4.99,8.7,9.11,7.35,8.7,13330+64240M
7 38 6.385,64 30 46.21,0.301,1.5,1.38,0.147,3.12,0,133.5,6.24,4.28,133.5,07360+64243J
13 8 10.585,64 30 43.88,0.014,7.57,9.61,0.129,3.18,2.39,36.6,6.27,5.9,36.6,13090+64240M
17 9 12.309,64 30 43.83,0.014,1.91,1.35,0.128,0,0,33.6,4.65,4.41,33.6,17090+64240M
7 37 58.989,64 30 43.26,0.014,448.14,462.18,0.147,1.14,0.74,88.9,5.52,5.45,88.9,07360+64243J
11 45 37.168,64 30 41.15,0.014,6.64,6.48,0.13,1.62,0,15.9,5.64,5.05,15.9,11450+64240M
8 35 57.887,64 30 40.51,0.014,7.01,7.06,0.151,1.06,0,149.5,5.5,5.34,149.5,08360+64243J
